Namespace(batch_size=16, class_num=65, dataset='OfficeHome', decay=0.0005, early=True, gpu=0, lr=0.01, lr_mult=[0.1, 0.1, 1, 1], message='PDA by MLWE', momentum=0.9, net='resnet', partial_classes_num=25, patience=10, phase='train', root_dir='./data/OfficeHome', save_check=True, save_interval=2000, seed=0, source='Art', start_update=0, steps=50000, target='Clipart', update_weight=2000)
class_num: 65, bottleneck_dim: 1024, batch_size:16
2427 1675
Step: [1/50000]:  cls_loss:4.4774   tar_loss:4.0150
Step: [2/50000]:  cls_loss:4.4076   tar_loss:3.9781
Step: [3/50000]:  cls_loss:4.0859   tar_loss:3.9960
Step: [4/50000]:  cls_loss:4.0979   tar_loss:3.9802
Step: [5/50000]:  cls_loss:4.0774   tar_loss:3.9411
Step: [6/50000]:  cls_loss:3.8809   tar_loss:3.9291
Step: [7/50000]:  cls_loss:3.7290   tar_loss:3.8904
Step: [8/50000]:  cls_loss:4.1490   tar_loss:3.9156
Step: [9/50000]:  cls_loss:3.9044   tar_loss:3.9074
Step: [10/50000]:  cls_loss:4.0419   tar_loss:3.9548
Step: [11/50000]:  cls_loss:3.3265   tar_loss:3.9765
Step: [12/50000]:  cls_loss:3.3389   tar_loss:3.8528
Step: [13/50000]:  cls_loss:4.2568   tar_loss:3.7922
Step: [14/50000]:  cls_loss:4.0985   tar_loss:3.7944
Step: [15/50000]:  cls_loss:3.8050   tar_loss:3.9461
Step: [16/50000]:  cls_loss:3.8788   tar_loss:3.9069
Step: [17/50000]:  cls_loss:3.5481   tar_loss:3.8335
Step: [18/50000]:  cls_loss:3.8615   tar_loss:3.7097
Step: [19/50000]:  cls_loss:3.1164   tar_loss:3.7186
Step: [20/50000]:  cls_loss:3.8993   tar_loss:3.5059
Step: [21/50000]:  cls_loss:3.5014   tar_loss:3.6872
Step: [22/50000]:  cls_loss:3.0485   tar_loss:3.7557
Step: [23/50000]:  cls_loss:3.1324   tar_loss:3.8174
Step: [24/50000]:  cls_loss:2.8023   tar_loss:3.5047
Step: [25/50000]:  cls_loss:2.7376   tar_loss:3.4605
Step: [26/50000]:  cls_loss:3.5811   tar_loss:3.4130
Step: [27/50000]:  cls_loss:2.9478   tar_loss:3.6367
Step: [28/50000]:  cls_loss:4.1595   tar_loss:3.3153
Step: [29/50000]:  cls_loss:3.3224   tar_loss:3.8103
Step: [30/50000]:  cls_loss:3.0120   tar_loss:3.6384
Step: [31/50000]:  cls_loss:3.3564   tar_loss:3.5589
Step: [32/50000]:  cls_loss:3.2169   tar_loss:3.6473
Step: [33/50000]:  cls_loss:3.4135   tar_loss:3.4913
Step: [34/50000]:  cls_loss:3.0248   tar_loss:3.6980
Step: [35/50000]:  cls_loss:3.7511   tar_loss:3.4441
Step: [36/50000]:  cls_loss:3.2367   tar_loss:3.6668
Step: [37/50000]:  cls_loss:3.4442   tar_loss:3.5654
Step: [38/50000]:  cls_loss:3.4547   tar_loss:3.4396
Step: [39/50000]:  cls_loss:3.7442   tar_loss:3.6441
Step: [40/50000]:  cls_loss:3.2058   tar_loss:3.8376
Step: [41/50000]:  cls_loss:3.1414   tar_loss:3.7742
Step: [42/50000]:  cls_loss:3.2737   tar_loss:3.6527
Step: [43/50000]:  cls_loss:3.0254   tar_loss:3.5586
Step: [44/50000]:  cls_loss:3.0939   tar_loss:3.6698
Step: [45/50000]:  cls_loss:2.7897   tar_loss:3.5232
Step: [46/50000]:  cls_loss:2.9361   tar_loss:3.5419
Step: [47/50000]:  cls_loss:2.5361   tar_loss:3.4219
Step: [48/50000]:  cls_loss:3.1438   tar_loss:3.4545
Step: [49/50000]:  cls_loss:2.8489   tar_loss:3.4147
Step: [50/50000]:  cls_loss:3.3084   tar_loss:3.5164
Step: [51/50000]:  cls_loss:2.7051   tar_loss:3.7994
Step: [52/50000]:  cls_loss:3.1859   tar_loss:3.4944
Step: [53/50000]:  cls_loss:2.9164   tar_loss:3.4961
Step: [54/50000]:  cls_loss:2.5822   tar_loss:3.5870
Step: [55/50000]:  cls_loss:2.3817   tar_loss:3.4008
Step: [56/50000]:  cls_loss:3.2896   tar_loss:3.0161
Step: [57/50000]:  cls_loss:2.8191   tar_loss:3.1752
Step: [58/50000]:  cls_loss:2.7692   tar_loss:3.3643
Step: [59/50000]:  cls_loss:3.0442   tar_loss:3.1891
Step: [60/50000]:  cls_loss:3.0484   tar_loss:3.3327
Step: [61/50000]:  cls_loss:2.7861   tar_loss:3.5725
Step: [62/50000]:  cls_loss:2.1311   tar_loss:3.6945
Step: [63/50000]:  cls_loss:2.7917   tar_loss:3.2969
Step: [64/50000]:  cls_loss:2.8577   tar_loss:3.4291
Step: [65/50000]:  cls_loss:2.3354   tar_loss:3.2224
Step: [66/50000]:  cls_loss:2.5705   tar_loss:3.4766
Step: [67/50000]:  cls_loss:2.6062   tar_loss:3.1729
Step: [68/50000]:  cls_loss:3.3361   tar_loss:3.0335
Step: [69/50000]:  cls_loss:2.5712   tar_loss:3.3091
Step: [70/50000]:  cls_loss:2.2630   tar_loss:3.2426
Step: [71/50000]:  cls_loss:2.5131   tar_loss:3.1172
Step: [72/50000]:  cls_loss:2.5458   tar_loss:3.1963
Step: [73/50000]:  cls_loss:3.0674   tar_loss:3.3102
Step: [74/50000]:  cls_loss:2.1420   tar_loss:3.5534
